,Okres,Kraj,OborPece,POCET
164,Brno-venkov,Jihomoravský kraj,geriatrie,1
165,Brno-venkov,Jihomoravský kraj,gynekologie a porodnictví,21
166,Brno-venkov,Jihomoravský kraj,hematologie a transfúzní lékařství,1
167,Brno-venkov,Jihomoravský kraj,kardiologie,1
168,Brno-venkov,Jihomoravský kraj,klinická stomatologie,1
169,Brno-venkov,Jihomoravský kraj,neurologie,10
170,Brno-venkov,Jihomoravský kraj,oftalmologie,9
171,Brno-venkov,Jihomoravský kraj,ortodoncie,2
172,Brno-venkov,Jihomoravský kraj,ortopedie a traumatologie pohybového ústrojí,12
173,Brno-venkov,Jihomoravský kraj,otorinolaryngologie a chirurgie hlavy a krku,5
174,Brno-venkov,Jihomoravský kraj,pneumologie a ftizeologie,2
175,Brno-venkov,Jihomoravský kraj,pracovní lékařství,1
176,Brno-venkov,Jihomoravský kraj,praktické lékařství pro děti a dorost,30
177,Brno-venkov,Jihomoravský kraj,praktické lékárenství,11
178,Brno-venkov,Jihomoravský kraj,psychiatrie,9
179,Brno-venkov,Jihomoravský kraj,radiologie a zobrazovací metody,5
180,Brno-venkov,Jihomoravský kraj,rehabilitační a fyzikální medicína,1
181,Brno-venkov,Jihomoravský kraj,revmatologie,2
182,Brno-venkov,Jihomoravský kraj,urologie,4
183,Brno-venkov,Jihomoravský kraj,vnitřní lékařství,5
184,Brno-venkov,Jihomoravský kraj,všeobecné praktické lékařství,57
185,Brno-venkov,Jihomoravský kraj,zubní lékařství,50
186,Bruntál,Moravskoslezský kraj,Dentální hygienistka,3
187,Bruntál,Moravskoslezský kraj,Fyzioterapeut,16
188,Bruntál,Moravskoslezský kraj,Klinický logoped,7
189,Bruntál,Moravskoslezský kraj,Klinický psycholog,5
190,Bruntál,Moravskoslezský kraj,Nutriční terapeut,1
191,Bruntál,Moravskoslezský kraj,Optometrista,7
192,Bruntál,Moravskoslezský kraj,Porodní asistentka,1
193,Bruntál,Moravskoslezský kraj,Všeobecná sestra,6
194,Bruntál,Moravskoslezský kraj,Zubní technik,11
195,Bruntál,Moravskoslezský kraj,alergologie a klinická imunologie,2
196,Bruntál,Moravskoslezský kraj,chirurgie,4
197,Bruntál,Moravskoslezský kraj,dermatovenerologie,4
198,Bruntál,Moravskoslezský kraj,dětská kardiologie,3
199,Bruntál,Moravskoslezský kraj,dětské lékařství,1
200,Bruntál,Moravskoslezský kraj,endokrinologie a diabetologie,1
201,Bruntál,Moravskoslezský kraj,gastroenterologie,1
202,Bruntál,Moravskoslezský kraj,gynekologie a porodnictví,16
203,Bruntál,Moravskoslezský kraj,hematologie a transfúzní lékařství,2
204,Bruntál,Moravskoslezský kraj,kardiologie,1
205,Bruntál,Moravskoslezský kraj,neurochirurgie,1
206,Bruntál,Moravskoslezský kraj,neurologie,3
207,Bruntál,Moravskoslezský kraj,oftalmologie,3
208,Bruntál,Moravskoslezský kraj,ortodoncie,1
209,Bruntál,Moravskoslezský kraj,ortopedie a traumatologie pohybového ústrojí,10
210,Bruntál,Moravskoslezský kraj,otorinolaryngologie a chirurgie hlavy a krku,3
211,Bruntál,Moravskoslezský kraj,pediatrie,1
212,Bruntál,Moravskoslezský kraj,praktické lékařství pro děti a dorost,21
213,Bruntál,Moravskoslezský kraj,praktické lékárenství,2
214,Bruntál,Moravskoslezský kraj,psychiatrie,3
215,Bruntál,Moravskoslezský kraj,radiologie a zobrazovací metody,3
216,Bruntál,Moravskoslezský kraj,rehabilitační a fyzikální medicína,1
217,Bruntál,Moravskoslezský kraj,urologie,4
218,Bruntál,Moravskoslezský kraj,vnitřní lékařství,4
219,Bruntál,Moravskoslezský kraj,všeobecné praktické lékařství,44
220,Bruntál,Moravskoslezský kraj,zubní lékařství,20
221,Břeclav,Jihomoravský kraj,Dentální hygienistka,2
222,Břeclav,Jihomoravský kraj,Ergoterapeut,1
223,Břeclav,Jihomoravský kraj,Fyzioterapeut,7
224,Břeclav,Jihomoravský kraj,Klinický logoped,5
225,Břeclav,Jihomoravský kraj,Klinický psycholog,6
226,Břeclav,Jihomoravský kraj,Optometrista,8
227,Břeclav,Jihomoravský kraj,Porodní asistentka,2
228,Břeclav,Jihomoravský kraj,Zubní technik,10
229,Břeclav,Jihomoravský kraj,alergologie a klinická imunologie,3
230,Břeclav,Jihomoravský kraj,algeziologie,1
231,Břeclav,Jihomoravský kraj,chirurgie,5
232,Břeclav,Jihomoravský kraj,dermatovenerologie,1
233,Břeclav,Jihomoravský kraj,dětská a dorostová psychiatrie,1
234,Břeclav,Jihomoravský kraj,dětská neurologie,1
235,Břeclav,Jihomoravský kraj,endokrinologie a diabetologie,4
236,Břeclav,Jihomoravský kraj,gastroenterologie,1
237,Břeclav,Jihomoravský kraj,gynekologie a porodnictví,18
238,Břeclav,Jihomoravský kraj,hematologie a transfúzní lékařství,1
239,Břeclav,Jihomoravský kraj,infekční lékařství,1
240,Břeclav,Jihomoravský kraj,kardiologie,3
241,Břeclav,Jihomoravský kraj,klinická stomatologie,1
242,Břeclav,Jihomoravský kraj,neurologie,4
243,Břeclav,Jihomoravský kraj,oftalmologie,4
244,Břeclav,Jihomoravský kraj,ortodoncie,1
245,Břeclav,Jihomoravský kraj,ortopedie a traumatologie pohybového ústrojí,5
246,Břeclav,Jihomoravský kraj,otorinolaryngologie a chirurgie hlavy a krku,3
247,Břeclav,Jihomoravský kraj,patologie,1
248,Břeclav,Jihomoravský kraj,pediatrie,1
249,Břeclav,Jihomoravský kraj,pneumologie a ftizeologie,2
250,Břeclav,Jihomoravský kraj,praktické lékařství pro děti a dorost,19
251,Břeclav,Jihomoravský kraj,praktické lékárenství,4
252,Břeclav,Jihomoravský kraj,psychiatrie,2
253,Břeclav,Jihomoravský kraj,radiologie a zobrazovací metody,2
254,Břeclav,Jihomoravský kraj,revmatologie,3
255,Břeclav,Jihomoravský kraj,urologie,3
256,Břeclav,Jihomoravský kraj,vnitřní lékařství,7
257,Břeclav,Jihomoravský kraj,všeobecné praktické lékařství,35
258,Břeclav,Jihomoravský kraj,zubní lékařství,33
259,Cheb,Karlovarský kraj,Dentální hygienistka,1
260,Cheb,Karlovarský kraj,Fyzioterapeut,15
261,Cheb,Karlovarský kraj,Klinický psycholog,1
262,Cheb,Karlovarský kraj,Nutriční terapeut,1
263,Cheb,Karlovarský kraj,Optometrista,4
264,Cheb,Karlovarský kraj,Porodní asistentka,1
265,Cheb,Karlovarský kraj,Všeobecná sestra,6
266,Cheb,Karlovarský kraj,Zubní technik,20
267,Cheb,Karlovarský kraj,anesteziologie a intenzivní medicína,1
268,Cheb,Karlovarský kraj,chirurgie,5
269,Cheb,Karlovarský kraj,dermatovenerologie,3
270,Cheb,Karlovarský kraj,endokrinologie a diabetologie,1
271,Cheb,Karlovarský kraj,gastroenterologie,1
272,Cheb,Karlovarský kraj,gynekologie a porodnictví,15
273,Cheb,Karlovarský kraj,hematologie a transfúzní lékařství,1
274,Cheb,Karlovarský kraj,kardiologie,1
275,Cheb,Karlovarský kraj,klinická biochemie,1
276,Cheb,Karlovarský kraj,neurologie,3
277,Cheb,Karlovarský kraj,oftalmologie,7
278,Cheb,Karlovarský kraj,ortopedie a traumatologie pohybového ústrojí,3
279,Cheb,Karlovarský kraj,otorinolaryngologie a chirurgie hlavy a krku,4
280,Cheb,Karlovarský kraj,plastická chirurgie,1
281,Cheb,Karlovarský kraj,pneumologie a ftizeologie,2
282,Cheb,Karlovarský kraj,praktické lékařství pro děti a dorost,13
283,Cheb,Karlovarský kraj,praktické lékárenství,2
284,Cheb,Karlovarský kraj,psychiatrie,3
285,Cheb,Karlovarský kraj,radiologie a zobrazovací metody,6
286,Cheb,Karlovarský kraj,rehabilitační a fyzikální medicína,10
287,Cheb,Karlovarský kraj,urologie,5
288,Cheb,Karlovarský kraj,vnitřní lékařství,1
289,Cheb,Karlovarský kraj,všeobecné praktické lékařství,32
290,Cheb,Karlovarský kraj,zubní lékařství,34
291,Chomutov,Ústecký kraj,Dentální hygienistka,1
292,Chomutov,Ústecký kraj,Ergoterapeut,1
293,Chomutov,Ústecký kraj,Fyzioterapeut,18
294,Chomutov,Ústecký kraj,Klinický logoped,1
295,Chomutov,Ústecký kraj,Klinický psycholog,2
296,Chomutov,Ústecký kraj,Optometrista,5
297,Chomutov,Ústecký kraj,Všeobecná sestra,9
298,Chomutov,Ústecký kraj,Zubní technik,12
299,Chomutov,Ústecký kraj,alergologie a klinická imunologie,3
300,Chomutov,Ústecký kraj,chirurgie,6
301,Chomutov,Ústecký kraj,dermatovenerologie,5
302,Chomutov,Ústecký kraj,dětská a dorostová psychiatrie,2
303,Chomutov,Ústecký kraj,dětské lékařství,2
304,Chomutov,Ústecký kraj,endokrinologie a diabetologie,3
305,Chomutov,Ústecký kraj,gastroenterologie,1
306,Chomutov,Ústecký kraj,gynekologie a porodnictví,11
307,Chomutov,Ústecký kraj,hematologie a transfúzní lékařství,1
308,Chomutov,Ústecký kraj,neurologie,2
309,Chomutov,Ústecký kraj,oftalmologie,8
310,Chomutov,Ústecký kraj,ortodoncie,1
311,Chomutov,Ústecký kraj,ortopedie a traumatologie pohybového ústrojí,4
312,Chomutov,Ústecký kraj,otorinolaryngologie a chirurgie hlavy a krku,2
313,Chomutov,Ústecký kraj,pneumologie a ftizeologie,1
314,Chomutov,Ústecký kraj,pracovní lékařství,2
315,Chomutov,Ústecký kraj,praktické lékařství pro děti a dorost,22
316,Chomutov,Ústecký kraj,praktické lékárenství,2
317,Chomutov,Ústecký kraj,psychiatrie,6
318,Chomutov,Ústecký kraj,radiologie a zobrazovací metody,1
319,Chomutov,Ústecký kraj,rehabilitační a fyzikální medicína,1
320,Chomutov,Ústecký kraj,revmatologie,1
321,Chomutov,Ústecký kraj,urologie,3
322,Chomutov,Ústecký kraj,vnitřní lékařství,7
323,Chomutov,Ústecký kraj,všeobecné praktické lékařství,53
324,Chomutov,Ústecký kraj,zubní lékařství,50
325,Chrudim,Pardubický kraj,Dentální hygienistka,4
326,Chrudim,Pardubický kraj,Fyzioterapeut,9
327,Chrudim,Pardubický kraj,Klinický logoped,4
328,Chrudim,Pardubický kraj,Klinický psycholog,5
329,Chrudim,Pardubický kraj,Optometrista,2
330,Chrudim,Pardubický kraj,Sestra pro péči v psychiatrii,1
331,Chrudim,Pardubický kraj,Všeobecná sestra,3
332,Chrudim,Pardubický kraj,Zubní technik,20
333,Chrudim,Pardubický kraj,alergologie a klinická imunologie,3
334,Chrudim,Pardubický kraj,anesteziologie a intenzivní medicína,1
335,Chrudim,Pardubický kraj,chirurgie,12
336,Chrudim,Pardubický kraj,dermatovenerologie,1
337,Chrudim,Pardubický kraj,dětská a dorostová psychiatrie,1
338,Chrudim,Pardubický kraj,gynekologie a porodnictví,15
339,Chrudim,Pardubický kraj,korektivní dermatologie,1
340,Chrudim,Pardubický kraj,neurologie,4
341,Chrudim,Pardubický kraj,oftalmologie,3
342,Chrudim,Pardubický kraj,ortodoncie,2
343,Chrudim,Pardubický kraj,ortopedie a traumatologie pohybového ústrojí,6
344,Chrudim,Pardubický kraj,otorinolaryngologie a chirurgie hlavy a krku,2
345,Chrudim,Pardubický kraj,plastická chirurgie,1
346,Chrudim,Pardubický kraj,pneumologie a ftizeologie,2
347,Chrudim,Pardubický kraj,praktické lékařství pro děti a dorost,19
348,Chrudim,Pardubický kraj,praktické lékárenství,3
349,Chrudim,Pardubický kraj,psychiatrie,6
350,Chrudim,Pardubický kraj,radiologie a zobrazovací metody,2
351,Chrudim,Pardubický kraj,rehabilitační a fyzikální medicína,2
352,Chrudim,Pardubický kraj,tělovýchovné lékařství,1
353,Chrudim,Pardubický kraj,urologie,3
354,Chrudim,Pardubický kraj,všeobecné praktické lékařství,44
355,Chrudim,Pardubický kraj,zubní lékařství,44
356,Domažlice,Plzeňský kraj,Fyzioterapeut,5
357,Domažlice,Plzeňský kraj,Klinický psycholog,1
358,Domažlice,Plzeňský kraj,Porodní asistentka,3
359,Domažlice,Plzeňský kraj,Všeobecná sestra,1
360,Domažlice,Plzeňský kraj,Zubní technik,6
361,Domažlice,Plzeňský kraj,alergologie a klinická imunologie,1
362,Domažlice,Plzeňský kraj,chirurgie,4
363,Domažlice,Plzeňský kraj,dermatovenerologie,2
364,Domažlice,Plzeňský kraj,dětská a dorostová psychiatrie,1
365,Domažlice,Plzeňský kraj,gynekologie a porodnictví,7
366,Domažlice,Plzeňský kraj,kardiologie,1
367,Domažlice,Plzeňský kraj,nefrologie,2
368,Domažlice,Plzeňský kraj,neurologie,2
369,Domažlice,Plzeňský kraj,oftalmologie,3
370,Domažlice,Plzeňský kraj,ortopedie a traumatologie pohybového ústrojí,2
371,Domažlice,Plzeňský kraj,otorinolaryngologie a chirurgie hlavy a krku,2
372,Domažlice,Plzeňský kraj,praktické lékařství pro děti a dorost,5
373,Domažlice,Plzeňský kraj,praktické lékárenství,3
374,Domažlice,Plzeňský kraj,psychiatrie,4
375,Domažlice,Plzeňský kraj,radiologie a zobrazovací metody,1
376,Domažlice,Plzeňský kraj,rehabilitační a fyzikální medicína,2
377,Domažlice,Plzeňský kraj,urologie,3
378,Domažlice,Plzeňský kraj,všeobecné praktické lékařství,15
379,Domažlice,Plzeňský kraj,zubní lékařství,9
380,Děčín,Ústecký kraj,Adiktolog,1
381,Děčín,Ústecký kraj,Dentální hygienistka,3
382,Děčín,Ústecký kraj,Farmaceutický asistent pro zdravotnické prostředky,1
383,Děčín,Ústecký kraj,Fyzioterapeut,13
384,Děčín,Ústecký kraj,Klinický logoped,2
385,Děčín,Ústecký kraj,Klinický psycholog,1
386,Děčín,Ústecký kraj,Optometrista,8
387,Děčín,Ústecký kraj,Ortotik-protetik,1
388,Děčín,Ústecký kraj,Porodní asistentka,2
389,Děčín,Ústecký kraj,Všeobecná sestra,23
390,Děčín,Ústecký kraj,Zubní technik,11
391,Děčín,Ústecký kraj,alergologie a klinická imunologie,6
392,Děčín,Ústecký kraj,chirurgie,5
393,Děčín,Ústecký kraj,dermatovenerologie,6
394,Děčín,Ústecký kraj,dětská neurologie,2
395,Děčín,Ústecký kraj,endokrinologie a diabetologie,2
396,Děčín,Ústecký kraj,gastroenterologie,1
397,Děčín,Ústecký kraj,gynekologie a porodnictví,15
398,Děčín,Ústecký kraj,hematologie a transfúzní lékařství,1
399,Děčín,Ústecký kraj,neurologie,4
400,Děčín,Ústecký kraj,oftalmologie,8
401,Děčín,Ústecký kraj,ortodoncie,1
402,Děčín,Ústecký kraj,ortopedie a traumatologie pohybového ústrojí,4
403,Děčín,Ústecký kraj,otorinolaryngologie a chirurgie hlavy a krku,6
404,Děčín,Ústecký kraj,pneumologie a ftizeologie,1
405,Děčín,Ústecký kraj,praktické lékařství pro děti a dorost,20
406,Děčín,Ústecký kraj,praktické lékárenství,7
407,Děčín,Ústecký kraj,psychiatrie,5
408,Děčín,Ústecký kraj,radiologie a zobrazovací metody,1
409,Děčín,Ústecký kraj,rehabilitační a fyzikální medicína,7
410,Děčín,Ústecký kraj,urologie,3
411,Děčín,Ústecký kraj,vnitřní lékařství,3
412,Děčín,Ústecký kraj,všeobecné praktické lékařství,55
413,Děčín,Ústecký kraj,zubní lékařství,47
414,Frýdek-Místek,Moravskoslezský kraj,Dentální hygienistka,6
415,Frýdek-Místek,Moravskoslezský kraj,Farmaceutický asistent,1
416,Frýdek-Místek,Moravskoslezský kraj,Fyzioterapeut,32
417,Frýdek-Místek,Moravskoslezský kraj,Klinický logoped,23
418,Frýdek-Místek,Moravskoslezský kraj,Klinický psycholog,13
419,Frýdek-Místek,Moravskoslezský kraj,Nutriční terapeut,1
420,Frýdek-Místek,Moravskoslezský kraj,Optometrista,14
421,Frýdek-Místek,Moravskoslezský kraj,Ortotik-protetik,1
422,Frýdek-Místek,Moravskoslezský kraj,Porodní asistentka,7
423,Frýdek-Místek,Moravskoslezský kraj,Všeobecná sestra,23
424,Frýdek-Místek,Moravskoslezský kraj,Zubní technik,28
425,Frýdek-Místek,Moravskoslezský kraj,alergologie a klinická imunologie,4
426,Frýdek-Místek,Moravskoslezský kraj,anesteziologie a intenzivní medicína,5
427,Frýdek-Místek,Moravskoslezský kraj,angiologie,1
428,Frýdek-Místek,Moravskoslezský kraj,chirurgie,6
429,Frýdek-Místek,Moravskoslezský kraj,cévní chirurgie,1
430,Frýdek-Místek,Moravskoslezský kraj,dermatovenerologie,5
431,Frýdek-Místek,Moravskoslezský kraj,gastroenterologie,1
432,Frýdek-Místek,Moravskoslezský kraj,gynekologie a porodnictví,18
433,Frýdek-Místek,Moravskoslezský kraj,hematologie a transfúzní lékařství,1
434,Frýdek-Místek,Moravskoslezský kraj,kardiologie,1
435,Frýdek-Místek,Moravskoslezský kraj,lékařská mikrobiologie,1
436,Frýdek-Místek,Moravskoslezský kraj,neurologie,6
437,Frýdek-Místek,Moravskoslezský kraj,oftalmologie,13
438,Frýdek-Místek,Moravskoslezský kraj,ortodoncie,2
439,Frýdek-Místek,Moravskoslezský kraj,ortopedie a traumatologie pohybového ústrojí,13
440,Frýdek-Místek,Moravskoslezský kraj,otorinolaryngologie a chirurgie hlavy a krku,5
441,Frýdek-Místek,Moravskoslezský kraj,plastická chirurgie,4
442,Frýdek-Místek,Moravskoslezský kraj,pneumologie a ftizeologie,3
443,Frýdek-Místek,Moravskoslezský kraj,praktické lékařství pro děti a dorost,38
444,Frýdek-Místek,Moravskoslezský kraj,praktické lékárenství,8
445,Frýdek-Místek,Moravskoslezský kraj,psychiatrie,8
446,Frýdek-Místek,Moravskoslezský kraj,radiologie a zobrazovací metody,5
447,Frýdek-Místek,Moravskoslezský kraj,rehabilitační a fyzikální medicína,3
448,Frýdek-Místek,Moravskoslezský kraj,urologie,7
449,Frýdek-Místek,Moravskoslezský kraj,vnitřní lékařství,2
450,Frýdek-Místek,Moravskoslezský kraj,všeobecné praktické lékařství,95
451,Frýdek-Místek,Moravskoslezský kraj,zubní lékařství,94
452,Havlíčkův Brod,Kraj Vysočina,Dentální hygienistka,3
453,Havlíčkův Brod,Kraj Vysočina,Fyzioterapeut,17
