,OkresCode,Okres,KrajCode,Kraj,OborPece,POCET,ID_obor_pece
45,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický logoped, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Zubní technik, Nutriční terapeut, Všeobecná sestra, Všeobecná sestra, paliativní medicína, onkochirurgie, onkochirurgie, onkochirurgie, maxilofaciální chirurgie, maxilofaciální chirurgie, maxilofaciální chirurgie, klinická výživa a intenzivní metabolická péče, klinická výživa a intenzivní metabolická péče, klinická výživa a intenzivní metabolická péče, korektivní dermatologie, korektivní dermatologie, koloproktologie, koloproktologie, koloproktologie, intenzívní medicína, intenzívní medicína, intenzívní medicína, hrudní chirurgie, hrudní chirurgie, hrudní chirurgie, dětská otorinolaryngologie, dětská otorinolaryngologie, dětská dermatovenerologie, dětská dermatovenerologie, angiologie, angiologie, angiologie, algeziologie, nemocniční lékárenství, praktické lékárenství, orální a maxilofaciální chirurgie, orální a maxilofaciální chirurgie, orální a maxilofaciální chirurgie, zubní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, traumatologie, traumatologie, traumatologie, revmatologie, revmatologie, revmatologie, radiologie a zobrazovací metody, radiační onkologie, pneumologie a ftizeologie, pneumologie a ftizeologie, pneumologie a ftizeologie, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, oftalmologie, oftalmologie, nukleární medicína, nefrologie, nefrologie, lékařská mikrobiologie, lékařská genetika, lékařská genetika, klinická onkologie, klinická onkologie, klinická onkologie, klinická onkologie, klinická biochemie, kardiologie, kardiologie, kardiologie, kardiochirurgie, kardiochirurgie, kardiochirurgie, chirurgie, chirurgie, chirurgie, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, geriatrie, geriatrie, geriatrie, gastroenterologie, gastroenterologie, endokrinologie a diabetologie, endokrinologie a diabetologie, dermatovenerologie, dermatovenerologie, cévní chirurgie, cévní chirurgie, cévní chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1,136
46,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický logoped, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, neurologie, neurologie, neurologie",1,137
47,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Nutriční terapeut, paliativní medicína, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, radiologie a zobrazovací metody, nefrologie, nefrologie, klinická biochemie, endokrinologie a diabetologie, endokrinologie a diabetologie",1,142
48,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Nutriční terapeut, urgentní medicína, klinická osteologie, intenzívní medicína, intenzívní medicína, intenzívní medicína, angiologie, angiologie, angiologie, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, radiologie a zobrazovací metody, kardiologie, kardiologie, kardiologie, geriatrie, geriatrie, geriatrie, endokrinologie a diabetologie, endokrinologie a diabetologie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1,143
49,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Nutriční terapeut, urogynekologie, urogynekologie, urogynekologie, reprodukční medicína, reprodukční medicína, perinatologie a fetomaternální medicína, perinatologie a fetomaternální medicína, perinatologie a fetomaternální medicína, onkogynekologie, onkogynekologie, onkogynekologie, neonatologie, neonatologie, neonatologie, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, urologie, urologie, lékařská genetika, lékařská genetika, klinická onkologie, klinická onkologie, klinická onkologie, klinická onkologie, klinická biochemie, kardiologie, kardiologie, kardiologie, chirurgie, chirurgie, chirurgie, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, endokrinologie a diabetologie, endokrinologie a diabetologie, dětské lékařství, dětské lékařství, dětské lékařství, dětské lékařství, dětská chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1,144
50,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Klinický psycholog, Zubní technik, paliativní medicína, dětská dermatovenerologie, dětská dermatovenerologie, angiologie, angiologie, angiologie, algeziologie, nemocniční lékárenství, praktické lékárenství, klinická stomatologie, ortodoncie, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, revmatologie, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, radiační onkologie, pneumologie a ftizeologie, pneumologie a ftizeologie, pneumologie a ftizeologie, plastická chirurgie, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, neurologie, neurologie, neurologie, nefrologie, nefrologie, lékařská mikrobiologie, lékařská genetika, lékařská genetika, klinická onkologie, klinická onkologie, klinická onkologie, klinická onkologie, klinická biochemie, kardiologie, kardiologie, kardiologie, infekční lékařství, chirurgie, chirurgie, chirurgie, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, hematologie a transfúzní lékařství, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, geriatrie, geriatrie, geriatrie, gastroenterologie, gastroenterologie, endokrinologie a diabetologie, endokrinologie a diabetologie, dermatovenerologie, dermatovenerologie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1,145
51,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Klinický psycholog, Všeobecná sestra",1,147
52,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Nutriční terapeut, sexuologie, sexuologie, sexuologie, onkourologie, onkourologie, onkourologie, dětská urologie, dětská urologie, dětská urologie, nemocniční lékárenství, praktické lékárenství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, urologie, urologie, radiologie a zobrazovací metody, patologie, patologie, klinická onkologie, klinická onkologie, klinická onkologie, klinická onkologie, dětské lékařství, dětské lékařství, dětské lékařství, dětské lékařství, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1,150
53,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Nutriční terapeut, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, geriatrie, geriatrie, geriatrie",1,151
54,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Všeobecná sestra",7,153
55,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Všeobecná sestra, rehabilitační a fyzikální medicína, psychiatrie",1,163
56,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Všeobecná sestra, tělovýchovné lékařství, rehabilitační a fyzikální medicína, ortopedie a traumatologie pohybového ústrojí",1,164
57,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, Všeobecná sestra, všeobecné praktické lékařství",1,165
58,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, rehabilitační a fyzikální medicína",1,168
59,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Fyzioterapeut, urogynekologie, urologie, urologie",1,171
60,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, Ergoterapeut, rehabilitační a fyzikální medicína, neurologie",1,178
61,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, Klinický psycholog, Ergoterapeut",1,179
62,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, Klinický psycholog, Ergoterapeut, vnitřní lékařství, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, neurologie, kardiologie, chirurgie, chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1,183
63,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, Klinický psycholog, Klinický psycholog, Klinický psycholog, Nutriční terapeut, Všeobecná sestra, paliativní medicína, klinická farmakologie, angiologie, angiologie, angiologie, nemocniční lékárenství, praktické lékárenství, klinická farmacie, klinická stomatologie, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, urologie, urologie, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, patologie, patologie, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, oftalmologie, oftalmologie, oftalmologie, nukleární medicína, neurologie, nefrologie, nefrologie, nefrologie, lékařská mikrobiologie, lékařská genetika, klinická onkologie, klinická biochemie, kardiologie, kardiologie, kardiologie, kardiochirurgie, kardiochirurgie, kardiochirurgie, chirurgie, chirurgie, chirurgie, hygiena a epidemiologie, hematologie a transfúzní lékařství, gynekologie a porodnictví, gastroenterologie, gastroenterologie, gastroenterologie, gastroenterologie, endokrinologie a diabetologie, endokrinologie a diabetologie, endokrinologie a diabetologie, dermatovenerologie, cévní chirurgie, cévní chirurgie, cévní chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1,185
64,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, Klinický psycholog, Nutriční terapeut, praktické lékárenství, klinická farmacie, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, urologie, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, plastická chirurgie, plastická chirurgie, plastická chirurgie, plastická chirurgie, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, neurologie, neurologie, kardiologie, chirurgie, chirurgie, chirurgie, chirurgie, chirurgie, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, gastroenterologie, endokrinologie a diabetologie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1,191
65,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, Klinický psycholog, Všeobecná sestra",2,192
66,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, Klinický psycholog, Všeobecná sestra, rehabilitační a fyzikální medicína",1,193
67,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, Klinický psycholog, praktické lékařství pro děti a dorost",1,197
68,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický logoped, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku",1,208
69,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický psycholog",1,215
70,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický psycholog, Adiktolog, Sestra pro péči v psychiatrii, Sestra pro péči v psychiatrii, Všeobecná sestra, Všeobecná sestra, návykové nemoci, rehabilitační a fyzikální medicína, psychiatrie",1,216
71,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický psycholog, Dentální hygienistka, Ergoterapeut, medicína dlouhodobé péče, angiologie, laboratorní a vyšetřovací metody ve zdravotnictví, všeobecné praktické lékařství, vnitřní lékařství, urologie, revmatologie, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, pneumologie a ftizeologie, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, oftalmologie, neurologie, klinická biochemie, kardiologie, chirurgie, chirurgie, hematologie a transfúzní lékařství, gynekologie a porodnictví, gastroenterologie, endokrinologie a diabetologie, dermatovenerologie, anesteziologie a intenzivní medicína",1,218
72,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický psycholog, Dentální hygienistka, Všeobecná sestra, Všeobecná sestra, Všeobecná sestra, dětská urologie, dětská otorinolaryngologie, dětská nefrologie, dětská gastroenterologie a hepatologie, dětská a dorostová psychiatrie, dětská dermatovenerologie, ortodoncie, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, urologie, revmatologie, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, praktické lékařství pro děti a dorost, pneumologie a ftizeologie, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, oftalmologie, neurologie, kardiologie, chirurgie, hematologie a transfúzní lékařství, gynekologie a porodnictví, endokrinologie a diabetologie, dermatovenerologie, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1,219
73,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický psycholog, Dentální hygienistka, Zubní technik, foniatrie, zubní lékařství, všeobecné praktické lékařství, vnitřní lékařství, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, pneumologie a ftizeologie, otorinolaryngologie a chirurgie hlavy a krku, oftalmologie, neurologie, chirurgie, gynekologie a porodnictví, endokrinologie a diabetologie, dermatovenerologie",1,220
74,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický psycholog, Ergoterapeut, Všeobecná sestra, rehabilitační a fyzikální medicína",1,223
75,CZ0100,Hlavní město Praha,CZ010,Hlavní město Praha,"Fyzioterapeut, Klinický psycholog, Ergoterapeut, psychosomatika, dětská endokrinologie a diabetologie, dětská a dorostová psychiatrie, algeziologie, všeobecné praktické lékařství, vnitřní lékařství, urologie, revmatologie, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, psychiatrie, praktické lékařství pro děti a dorost, pneumologie a ftizeologie, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, oftalmologie, neurologie, kardiologie, chirurgie, gynekologie a porodnictví, endokrinologie a diabetologie, dermatovenerologie, anesteziologie a intenzivní medicína, alergologie a klinická imunologie",1,228
